ID,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_release_date,album_total_tracks,album_type,track_duration_min
1294,Whatever (with Ava Max) - TiÃ«sto Remix,1,47,FALSE,Kygo,76,8670011,tropical house,Whatever (with Ava Max) - TiÃ«sto Remix,3/22/2024,1,single,2.76
1295,Claustrophobic,5,56,TRUE,Future,88,22682234,rap,WE DON'T TRUST YOU,3/22/2024,17,album,3.7
1296,Everyday Hustle,13,68,TRUE,Future,88,22682234,rap,WE DON'T TRUST YOU,3/22/2024,17,album,3.78
1297,Fall Back,1,49,FALSE,Lithe,69,513404,dark r&b,Fall Back / Selfish Game,3/22/2024,2,single,2.15
1298,Fried (She a Vibe),11,65,TRUE,Future,88,22688560,rap,WE DON'T TRUST YOU,3/22/2024,17,album,3.5
1299,get him back!,8,61,TRUE,Olivia Rodrigo,84,49050008,"pop rock, alternative pop, pop punk",GUTS (spilled),3/22/2024,17,album,3.51
1300,girl iâ€™ve always been,14,65,FALSE,Olivia Rodrigo,85,49067177,"pop rock, alternative pop, pop punk",GUTS (spilled),3/22/2024,17,album,2.02
1301,Slow It Down,1,69,FALSE,Benson Boone,83,7045466,N/A,Slow It Down,3/21/2024,1,single,2.69
1302,Jump,1,63,FALSE,Tyla,77,3505794,afrobeats,Jump,3/20/2024,1,single,2.45
1303,Cheerleader,1,45,FALSE,Porter Robinson,59,1220599,"edm, electronic",Cheerleader,3/20/2024,1,single,3.95
1304,i like the way you kiss me,1,80,FALSE,Artemas,74,1377042,N/A,i like the way you kiss me,3/19/2024,1,single,2.37
1305,Lady Killers II,1,77,TRUE,G-Eazy,74,6295804,N/A,Lady Killers II,3/17/2024,1,single,4.96
1306,SLAY!,1,76,TRUE,Eternxlkz,66,613747,"phonk, brazilian phonk",SLAY!,3/15/2024,4,single,1.78
1307,Speed Of Light,1,42,FALSE,LEIDAN,24,545,N/A,Speed Of Light,3/15/2024,1,single,2.83
1308,Let You Down (with Gabry Ponte),1,45,FALSE,DVBBS,56,1057994,"edm, big room",Let You Down (with Gabry Ponte),3/15/2024,1,single,2.48
1309,Never Lose Me,14,71,TRUE,Flo Milli,67,1567636,N/A,"Fine Ho, Stay",3/15/2024,14,album,2.09
1310,Not So Bad,1,26,FALSE,NO FEELS,19,610,deep house,Not So Bad,3/15/2024,1,single,2.86
1311,What I Am,1,47,TRUE,ZAYN,77,24105967,N/A,What I Am,3/15/2024,1,single,3.52
1312,Fire! (Tribbs Remix),1,42,FALSE,Alan Walker,78,41266350,N/A,Fire! (Tribbs Remix),3/15/2024,1,single,1.76
1313,don't wanna break up again,3,70,TRUE,Ariana Grande,90,107389514,pop,eternal sunshine,3/8/2024,13,album,2.9
1314,eternal sunshine,5,73,FALSE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,3.5
1315,Fetish,1,27,FALSE,Emilio,41,2292,hypertechno,Fetish,3/8/2024,1,single,2.84
1316,Saturn Returns Interlude,4,59,FALSE,Ariana Grande,90,107374593,pop,eternal sunshine,3/8/2024,13,album,0.7
1317,Spotlight - og version,1,48,FALSE,Lil Peep,82,15689879,"emo rap, cloud rap",HATE ME,3/8/2024,3,single,2.86
1318,Hate Me - og version,3,44,TRUE,Lil Peep,82,15684530,"emo rap, cloud rap",HATE ME,3/8/2024,3,single,3.97
1319,i wish i hated you,11,71,FALSE,Ariana Grande,90,107374593,pop,eternal sunshine,3/8/2024,13,album,2.56
1320,imperfect for you,12,68,TRUE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,3.04
1321,intro (end of the world),1,77,TRUE,Ariana Grande,90,107374593,pop,eternal sunshine,3/8/2024,13,album,1.54
1322,Journey,1,31,FALSE,Hans Zimmer,77,4777574,soundtrack,Kung Fu Panda 4 (Original Motion Picture Soundtrack),3/8/2024,22,album,1.86
1323,"yes, and?",9,72,TRUE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,3.58
1324,supernatural,6,82,FALSE,Ariana Grande,90,107374593,pop,eternal sunshine,3/8/2024,13,album,2.72
1325,the boy is mine,8,79,TRUE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,2.89
1326,true story,7,66,FALSE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,2.72
1327,we can't be friends (wait for your love),10,79,FALSE,Ariana Grande,90,107374593,pop,eternal sunshine,3/8/2024,13,album,3.81
1328,act ii: date @ 8 (feat. Drake) - remix,1,70,TRUE,4batz,62,669148,N/A,act ii: date @ 8 (feat. Drake) [remix],3/8/2024,1,single,3.85
1329,bye,2,73,FALSE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,2.74
1330,LET THE WORLD BURN,1,79,FALSE,Chris Grey,72,963679,dark r&b,LET THE WORLD BURN,3/8/2024,2,single,2.72
1331,Looking For You,2,49,TRUE,Lil Peep,82,15684530,"emo rap, cloud rap",HATE ME,3/8/2024,3,single,3.3
1332,ordinary things (feat. Nonna),13,62,FALSE,Ariana Grande,90,107401919,pop,eternal sunshine,3/8/2024,13,album,2.8
1333,Beautiful Things,1,42,FALSE,midnight Berlin,42,4171,hypertechno,Beautiful Things,3/1/2024,1,single,2.05
1334,UP!,1,66,FALSE,Forrest Frank,77,2268298,"christian, christian pop, christian hip hop, worship, gospel r&b",UP!,3/1/2024,1,single,2.28
1335,Overcompensate (edit),2,48,FALSE,Twenty One Pilots,83,25762646,N/A,Overcompensate,2/29/2024,2,single,3.17
1336,My Love - Slowed + Reverb,1,17,TRUE,932sounds,31,23317,N/A,My Love (Slowed + Reverb),2/26/2024,1,single,5.68
1337,Symphony,1,23,FALSE,ILURO,41,8658,N/A,Symphony,2/23/2024,1,single,2.2
1338,HELLO,1,29,FALSE,Chris Gold,21,3925,N/A,HELLO,2/23/2024,1,single,2.04
1339,I See Lights,5,42,FALSE,Zauntee,46,141405,"christian hip hop, christian, christian pop",We Already Won,2/23/2024,20,album,1.92
1340,SLEEP TONIGHT (THIS IS THE LIFE) - with R3HAB and Sam Feldt,1,54,TRUE,Switch Disco,53,122782,N/A,SLEEP TONIGHT (THIS IS THE LIFE) [with R3HAB and Sam Feldt],2/23/2024,1,single,2.27
1341,Sorry,1,0,FALSE,SandÃ«ro,44,5733,N/A,Sorry,2/23/2024,1,single,2.67
1342,Worm Ride,7,50,FALSE,Hans Zimmer,77,4777574,soundtrack,Dune: Part Two (Original Motion Picture Soundtrack),2/23/2024,25,album,2.33
1343,A Time of Quiet Between the Storms,5,60,FALSE,Hans Zimmer,77,4780589,soundtrack,Dune: Part Two (Original Motion Picture Soundtrack),2/23/2024,25,album,4.36
1344,Beautiful Things - Acoustic,1,72,FALSE,Benson Boone,83,7050520,N/A,Beautiful Things (Alternate Versions),2/23/2024,6,single,3.35
1345,Saturn,1,77,FALSE,SZA,87,33043825,r&b,Saturn,2/22/2024,5,single,3.1
1346,You Make My Heart Go,1,53,FALSE,Sad Puppy,48,45292,hypertechno,You Make My Heart Go,2/21/2024,1,single,2.1
1347,Tell mÃ«,10,62,TRUE,Yeat,79,5976603,rage rap,2093,2/16/2024,22,album,4.06
1348,Darlin',2,69,FALSE,Chase Matthew,64,468383,"country, country hip hop",We All Grow Up,2/16/2024,6,single,2.75
1349,linger x duvet,1,0,FALSE,SUKI,29,3595,N/A,linger x duvet,2/16/2024,1,single,1.88
1350,Now,1,35,FALSE,Niklas Dee,64,84858,"hypertechno, slap house",Now,2/16/2024,1,single,2.91
1351,Prada,1,40,FALSE,midnight Berlin,42,4170,hypertechno,Prada,2/16/2024,2,single,2.12
1352,If We Being RÃ«al,21,75,TRUE,Yeat,79,5978358,rage rap,2093,2/16/2024,22,album,2.87
1353,Angel Of Darkness,1,33,FALSE,Ericovich,41,11030,nightcore,Angel Of Darkness,2/16/2024,1,single,2.18
1354,Austin (Boots Stop Workin'),4,82,TRUE,Dasha,67,416933,N/A,What Happens Now?,2/16/2024,8,album,2.86
1355,Belong Together,1,75,FALSE,Mark Ambor,66,685131,N/A,Belong Together,2/16/2024,1,single,2.47
1356,Training Season,1,74,FALSE,Dua Lipa,85,46886554,pop,Training Season,2/15/2024,4,single,3.49
1357,Whatever She Wants,1,76,TRUE,Bryson Tiller,80,10566213,"trap soul, r&b",Whatever She Wants,2/13/2024,1,single,2.68
1358,TEXAS HOLD 'EM,1,73,TRUE,BeyoncÃ©,84,41172203,N/A,TEXAS HOLD 'EM,2/11/2024,1,single,3.89
1359,TEXAS HOLD 'EM,1,58,TRUE,BeyoncÃ©,84,41172203,N/A,TEXAS HOLD 'EM,2/10/2024,3,single,3.89
1360,Acquainted,17,39,TRUE,The Weeknd,93,112918137,"r&b pop, alternative r&b, hip hop, synthpop",The Highlights (Deluxe),2/9/2024,36,compilation,5.81
1361,Cruel Summer,7,39,FALSE,RIELL,52,78478,N/A,love 4.0,2/9/2024,13,compilation,3.97
1362,Drowning In Us,1,20,FALSE,Now O Later,43,2595,hypertechno,Drowning In Us,2/9/2024,1,single,2.56
1363,Lovin On Me,1,40,FALSE,midnight Berlin,42,4083,hypertechno,Lovin On Me,2/9/2024,1,single,2.28
1364,make you mine,1,81,FALSE,Madison Beer,74,8500847,N/A,make you mine,2/9/2024,1,single,3.69
1365,"One Of The Girls (with JENNIE, Lily Rose Depp)",19,62,FALSE,The Weeknd,93,112957721,"r&b pop, alternative r&b, hip hop, synthpop",The Highlights (Deluxe),2/9/2024,36,compilation,4.07
1366,Popular (with Playboi Carti & Madonna),26,58,TRUE,The Weeknd,93,112957721,"r&b pop, alternative r&b, hip hop, synthpop",The Highlights (Deluxe),2/9/2024,36,compilation,3.59
1367,Song For the Earth,8,43,FALSE,Jonna Jinton,38,71238,celtic,Songs & Callings,2/7/2024,8,album,1.08
1368,Tell Ur Girlfriend,1,9,TRUE,Lay Bankz,63,721666,jersey club,Tell Ur Girlfriend,2/7/2024,1,single,2.07
1369,ANGELS LIKE YOU,1,42,FALSE,Umur Anil Gokdag,56,18834,N/A,ANGELS LIKE YOU,2/5/2024,1,single,1.93
1370,exes - Regard Remix,1,50,TRUE,Tate McRae,88,9249502,pop,exes (Regard Remix),2/2/2024,1,single,3.04
1371,Gata Only,1,84,TRUE,FloyyMenor,76,2186739,reggaeton chileno,Gata Only,2/2/2024,1,single,3.7
1372,Memories,1,57,FALSE,Dean Lewis,75,4156314,N/A,Memories,2/1/2024,1,single,2.99
1373,[Solo-Leveling]SymphonicSuite-Lv.8,1,41,FALSE,Sawano Hiroyuki,65,728021,"anime, soundtrack",[Solo-Leveling]SymphonicSuite-Lv.8,1/28/2024,1,single,2.68
1374,Rescue Light,1,43,TRUE,Hurricane on Saturn,39,4952,N/A,Rescue Light,1/27/2024,1,single,3.32
1375,Past Lives - K-391 Remix,1,29,FALSE,sapientdream,57,224595,N/A,Past Lives (K-391 Remix),1/26/2024,1,single,2.94
1376,Popular (with Playboi Carti & Madonna),1,34,FALSE,The Weeknd,93,112957721,"r&b pop, alternative r&b, hip hop, synthpop",Popular,1/26/2024,5,single,3.59
1377,STAR WALKIN',1,35,TRUE,IAN SIZE,32,1843,"melodic bass, nightcore, bass music",STAR WALKIN',1/26/2024,1,single,2.85
1378,ur special to me,1,42,FALSE,Artemas,74,1378074,N/A,ur special to me,1/26/2024,4,single,1.9
1379,Marry Me,1,41,FALSE,GOVAN,34,1434,N/A,Marry Me,1/26/2024,1,single,3.25
1380,HISS,1,61,TRUE,Megan Thee Stallion,76,10888670,N/A,HISS,1/26/2024,1,single,3.21
1381,DerniÃ¨re danse - Techno Mix,1,72,FALSE,Indila,69,2546276,french pop,DerniÃ¨re danse (Techno Mix),1/26/2024,1,single,3.28
1382,FUNKED UP - SLOWED,3,71,FALSE,xxanteria,58,462135,"phonk, brazilian phonk",FUNKED UP,1/19/2024,3,single,1.92
1383,Never Let This Go,1,46,FALSE,Tom Frane,48,85781,N/A,Never Let This Go,1/19/2024,1,single,2.23
1384,Beautiful Things,1,84,FALSE,Benson Boone,83,7055537,N/A,Beautiful Things,1/18/2024,1,single,3
1385,"The Statues of Music (from Solo Leveling"") - Cover""",1,34,FALSE,Diego Mitre,56,28150,anime,"The Statues of Music (from Solo Leveling"") [Cover]""",1/17/2024,1,single,2.91
1386,Home,1,4,FALSE,Good Neighbours,66,218657,N/A,Home,1/17/2024,1,single,2.62
1387,LALALA,1,48,TRUE,Umur Anil Gokdag,56,18840,N/A,LALALA,1/14/2024,1,single,2.07
1388,Igual Que Un Ãngel (with Peso Pluma),3,76,FALSE,Kali Uchis,83,9469943,N/A,ORQUÃDEAS,1/12/2024,14,album,4.33
1389,Mwaki - TiÃ«sto's VIP Mix,2,65,FALSE,Zerb,68,174894,afro house,Mwaki (Major Lazer Remix),1/12/2024,3,single,2.67
1390,Not My Fault (with Megan Thee Stallion),13,65,TRUE,ReneÃ© Rapp,72,1261419,N/A,Mean Girls (Music From The Motion Picture),1/12/2024,13,album,2.84
1391,Wish I Didn't Love You,1,36,FALSE,BEAUZ,58,210805,hard techno,Wish I Didn't Love You,1/12/2024,1,single,2.43
1392,"yes, and?",1,71,TRUE,Ariana Grande,90,107374593,pop,"yes, and?",1/12/2024,1,single,3.58
1393,redrum,3,78,TRUE,21 Savage,84,23813959,N/A,american dream,1/12/2024,15,album,4.51
1394,Scared To Start,1,79,FALSE,Michael Marcagi,64,274140,N/A,Scared To Start,1/12/2024,1,single,2.66
1395,Talk To My Body,1,45,FALSE,LIZOT,60,110282,"slap house, hypertechno",Talk To My Body,1/12/2024,1,single,2.45
1396,The Reason,8,83,FALSE,Hoobastank,66,2742164,nu metal,The Reason (20th Anniversary),1/12/2024,17,album,3.88
1397,Deep In Your Love,1,65,FALSE,Alok,76,11247155,"brazilian bass, electronic, slap house, electro house",Deep In Your Love,1/12/2024,1,single,2.41
1398,Don't Call Me Up - LA Vision Remix,1,38,FALSE,Madism,55,31871,tropical house,Don't Call Me Up (LA Vision Remix),1/12/2024,2,single,2.06
1399,Cheri Cheri Lady - Slowed,1,0,FALSE,lilster,45,16330,jersey club,Cheri Cheri Lady (Slowed),1/12/2024,1,single,3.85
1400,Carsick,1,36,TRUE,K.Flay,61,644963,N/A,Carsick,1/11/2024,1,single,2.74
1401,All My Life,1,59,FALSE,TiÃ«sto,80,7978695,"edm, trance, big room",All My Life,1/5/2024,1,single,2.44
1402,I Wouldn't Mind (Remix) - Merrily We Fall out of Line,1,0,FALSE,Hiko,56,139354,nightcore,I Wouldn't Mind (Remix) - Merrily We Fall out of Line,1/5/2024,1,single,3.24
1403,One Of The Girls X The Hills - Sped Up,2,45,FALSE,Mckyyy,59,104869,N/A,One Of The Girls X The Hills,1/1/2024,3,single,2.7
1404,Strangers,13,63,FALSE,Lewis Capaldi,79,14039018,soft pop,Broken By Desire To Be Heavenly Sent (Extended Edition),1/1/2024,17,album,3.57
